term,icons,part_of_speech,derivations,etymology,roots,highlight,application,exploration,quote,author,source_major,event_collection
protagonist,"['device', 'essential', 'common', 'concept']",n.,,"1670s, “principal character in a story, drama, etc.”, from Greek protagonistes “actor who plays the chief or first part”, from protos “first” + agonistes “actor, competitor”, from agon “contest.”', '1889, “leading person in any cause or contest”.', '1935, mistaken sense of “advocate, supporter” is from misreading of Greek protos as Latin pro- “for.”","['pro-', 'logos']","['principal character in a story', 'drama', 'leading person in any cause or contest']","['know that a protagonist is the opposite of antagonist.', 'identify a protagonist in a text.', 'consider whether a minor character may be a protagonist.', 'provide evidence for a character being a protagonist.', 'consider whether a text has one or more protagonists.', 'consider a text whose protagonist is an anti-hero.', 'consider whether an object or a setting is the protagonist.']","['How do we know who the protagonist of a story is?', 'Is a protagonist the same as a hero?', 'What distinguishes a protagonist from an antagonist?']","In some stories the protagonist and antagonist are bonded by some essential moral principle, and we can call this relation metaphorical [...] In other stories, however, the protagonist and antagonist circle in different moral orbits, a disjunction we might call metonymic.

",William M. Burke,“Protagonists and Antagonists in the Fiction of Flannery O’Connor”,aswl1_e1
quest,"['device', 'essential', 'common', 'concept']",n.,,"1300s, “an inquest”.',  'Early 1400s, “a search for something” (especially of judicial inquiries or hounds seeking game), from Old French queste “search, quest, chase, hunt, pursuit; inquest, inquiry”', '1200s, Modern French quête), properly “the act of seeking”', 'Late 1400s, romance sense of “adventure undertaken by a knight” (especially the search for the Grail)', 'Johnson’s dictionary has ""Questmonger: Starter of lawsuits or prosecutions.""",,"['a search for something', 'an adventure']","['consider the quest as a narrative framework.', 
'explore the relationship between a quest and a hero.', 
'consider how the mundane could be transformed into a quest.', 
'be introduced to the relationship between a quest and the genre of Romance.', 
'consider the relationship between a quest and monomyth.', 
'consider the relationship between a quest and a “question."" ']","['Can anyone go on a quest or just a hero?',
'Why do heroes go on quests?',
'What are some qualities of a quest as a narrative technique?',
'In what sense are you on a “quest”?']","The distant goals of the quest, the Holy Grail or the City of God, modulate into symbols of convergence, the emblems of prince, nation, and national faith.

",Northrup Frye,Anatomy of Criticism,aswl1_e1
repetition,"['device', 'essential', 'common', 'concept']",n.,"['repetitive (adj.)', 'repeat (v.)']","Early 1400s, “act of saying over again”, from Old French repetition and directly from Latin repetitionem (nominative repetitio) “a repeating”, noun of action from past participle stem of repetere “do or say again""', '1590, of actions; specifically in physical fitness from 1958.",,['act of saying over again a repeating do or say again'],"['consider the significance of repetition in a text.', 
'know the utility of repetition in argumentation.', 
'consider the relationship between repetition and frequency.', 
'consider to what extent any text is a repetition of a previous text.', 
'explore the relationship between repetition and mutation in evolutionary biology.'
]","['Why is it useful to repeat key words in argumentation?','Since memory creates prejudice, is it possible to repeat?','Does history repeat itself?','What is the relationship between repetition and ritual?','What is the relationship between repetition and ideology?']","[T]he question has often been raised why myths, and more generally oral literature, are so much addicted to duplication, triplication, or quadruplication of the same sequence. If our hypotheses are accepted, the answer is obvious: The function of repetition is to render the structure of the myth apparent.

",Claude Lévi-Strauss,The Structural Study of Myth,aswl1_e1
revolution,"['essential', 'common', 'concept']",n.,"['revolving (adj.)', 'revolve (v.)']","Late 1300s, originally of celestial bodies, from Old French revolucion ""course, revolution (of celestial bodies)"", or directly from Late Latin revolutionem (nominative revolutio) ""a revolving""', 'Mid 1400s, general sense of ""instance of great change in affairs""', '1600~, political meaning ""overthrow of an established political system"", derived from French, and was especially applied to the expulsion of the Stuart dynasty under James II in 1688 and transfer of sovereignty to William and Mary.",,"['turn', 'roll back', 'instance of great change in affairs', 'overthrow of an established political system']","['know revolutionary as a historical framework.', 
'know that revolutionary is the opposite of reactionary.', 
'consider to what extent a text “revolts” against the expectations of genre or narrative structure.', 
'considering how revolution creates a cycle.', 
'research a specific revolution and report on its outcomes.', 
'consider the relationship between revolution and identity.', 
'consider the relationship between a revolution in history and a paradigm shift in the sciences.'
]","['Is history a series of revolutions?',
'What role does literature play in the history of revolutions?',
'Can literature be revolutionary?',
'How might a text “revolt” against its expectations?',
'What is the relationship between revolution and progress?']","[L]iterature (it would be better, from now on, to say writing), by refusing to assign to the text (and to the world-as-text) a ‘secret,’ i.e., an ultimate meaning, liberates an activity we may call countertheological, properly revolutionary, for to refuse to halt meaning is finally to refuse God and his hypostases, reason, science, the law.

",Roland Barthes,“The Death of the Author”,aswl1_e1
rhapsody,"['device', 'common', 'concept']",n.,"['rhapsodical (adj.)', 'rhapsodize (v.)']","1540s, “epic poem”, from Middle French rhapsodie, from Latin rhapsodia, from Greek rhapsoidia “verse composition, recitation of epic poetry; a book, a lay, a canto”, from rhapsodos “reciter of epic poems,” literally “one who stitches or strings songs together,” from rhaptein “to stitch, sew, weave” + oide “song.”', '1630s, “exalted enthusiastic feeling or expression”', '1850s, “sprightly musical composition”",,"['recitation of epic poetry', 'one who stitches or strings songs together', '']","['understand the relationship between a rhapsody and an epic.', 
'consider what aspects within a rhapsody “weave” the narrative together.', 
'consider whether a musical composition can have a narrative.', 
'perform a dramatic recitation.'

]","['What makes a text into a rhapsody?',
'Is there any relationship between composition in music and composition in writing?',
'What commonalities do poetry and song have?',
'How does a song “tell” a story?']","[W]hen poetry was recited, it employed the assistance of song; this combination - formed melodic discourse, or ‘ode’; and from ‘ode’ they began to use the terms rhapsody, tragedy, and comedy. Therefore, since tell was first used in reference to poetic ‘style’ and since among the ancients this poetic style was accompanied by song, the term ‘sing’ was to them equivalent to the term ‘tell’.

",Strabo,Geography,aswl1_e1
rhythm,"['device', 'essential', 'common', 'concept']",n.,"['rhythmic(al) (adj.)', 'rhythmically (adv.)']","1550s, “rhymed verse, metrical movement” from Latin rhythmus “movement in time”, from Greek rhythmos “measured flow or movement, rhythm; proportion, symmetry; arrangement, order; form, shape, wise, manner; soul, disposition,” related to rhein “to flow,” from  root sreu- “to flow.”', '1936, rhythm method of birth control', '1949, rhythm and blues, US music style",,['measured flow or movement'],"['consider the ways in which a writer might create rhythm.', 
'consider whether rhythm is intuitively or rationally experienced.', 
'consider why a writer might break up a rhythm.', 
'perform a dramatic reading of a speech or poem and project its rhthym.', 'consider the relationship between rhythm and rhyme.', 
'consider the relationship between rhythm and alliteration.']","['How can such techniques as alliteration and rhyme create a rhythm?',
'Does consonance break up a rhythm?',
'How can body language be used to emphasize a rhythm?',
'Does everything have rhthym?']","And the worst of it all is that, just as petty lays draw their hearer away from the point and compel his attention to themselves, so also overrhythmical style does not communicate the feeling of the words but simply the feeling of the rhythm.

",Pseudo-Longinus,On the Sublime,aswl1_e1
setting,"['device', 'essential', 'common', 'concept']",n.,['set v.'],"Late 1300s, “Fact or action of setting, putting, placing, planting.”, 'the place or type of surroundings where something is positioned or where an event takes place.",,"['fact or action of setting', 'putting', 'placing', 'planting']","['consider the effect of setting on action.', 
'utilize spatial organization to describe a setting, i.e., describe a room from left to right.', 
'consider how a setting may contribute to a theme.', 
'analyze a setting and state its potential significance.', 
'produce a descriptive passage which incorporates the five senses (hearing, taste, sight, touch, smell).']","['How can the setting contribute to a plot or theme?',
'Often a setting is only suggested. How might a reader construct a setting from sparce details?',
'How does historical context or occasion provide a “setting” for a text?',
'Does a narrative require a setting?']","In addition to using taste and care in arranging words, you will express yourself most effectively if you give novelty to a familiar word by means of a skilful setting.
",Quintus Horatius Flaccus,Art of Poetry,aswl1_e1
simile,"['device', 'essential', 'common', 'concept']",n.,,"Late 1300s, from Latin simile “a like thing; a comparison, likeness, parallel,” neuter of similis “like.”",,"['a like thing; a comparison', 'likeness', 'parallel']","['know that simile is the opposite of metaphor.', 
'know that a simile uses “like” or “as” in its construction.', 
'employ simile in our own writing.', 
'consider the relative impact of a simile compared to a metaphor.', 
'identify the use of similie.', 
'explain the potential significance of a simile in a  text.', 
'utilize simile to describe a person or a thing.', 
'consider the relationship between simile and analogy.'

]","['What is the difference between a simile and a metaphor?',
'Why is simile an effective technique in communication?',
'How might comparing two unlike things be useful?']","Only by forgetting that primitive world of metaphors, only by the congelation and coagulation of an original mass of similes and percepts pouring forth as a fiery liquid out of the primal faculty of human fancy, only by the invincible faith, that this sun, this window, this table is a truth in itself: in short only by the fact that man forgets himself as subject, and what is more’as an artistically creating subject, only by all this does he live with some repose, safety, and consequence.

",Friedrich Nietzsche,“Truth and Falsity in an Ultramoral Sense”,aswl1_e1
slant rhyme,"['device', 'common', 'concept']",n.,,Half rhyme or slant rhyme is a type of rhyme formed by words with similar but not identical sounds.,,['words with similar but not identical sounds'],"['identify the use of slant or half rhyme in poetry.', 
'consider how slant rhyme is more subtle than full rhyme.', 
'consider the use of slant rhyme in popular music.', 
'consider how slant rhyme aids rhthym.'

]","['Is there a full rhyme for all words in English?',
'What are some examples of words that share slant rhyme?',
'Why might a writer want to use slant rhyme?']","Note, for example, the poem’s subtle pattern of slant rhymes, ending with a couplet that packs a punch.","Steven Gould Axelrod, Camille Roman, and Thomas Travisano, editors",Postmodernisms: 1950-Present,aswl1_e1
speaker,"['device', 'essential', 'common', 'concept']",n.,,"1300s, “one who speaks”, agent noun from speak (v. ). Similar formation in Old Frisian spreker, Old High German sprahhari, German sprecher. For literature, refers to the narrator in a poem, the speaker.",,['the narrator in a poem'],"['know the relationship between speaker and narrator.', 
'know the relationship between speaker and persona.', 
'know that poems have a speaker, not a narrator.', 
'understand that the speaker is not necessarily the poet.', 
'consider why a writer might employ a speaker.', 
'provide textual evidence to support a description of a speaker’s perspective.'

]","['Why might a poet employ a speaker or a persona?','How can we effectively employ a persona in our own writing?','Does a poem having a speaker imply that poetry is meant to be “spoken” or read aloud?','Does a poem having a speaker imply a more personal connection between the poem and the reader?','How is the speaker in a poem different from that in a speech?']","To the possible difference here belong also the colouring and shading which poetic eloquence seeks to give to the sense. Such colouring and shading are not objective, and must be evoked by each hearer or reader according to the hints of the poet or the speaker. Without some affinity in human ideas art would certainly be impossible; but it can never be exactly determined how far the intentions of the poet are realized.

",Gottlob Frege,“On Sense and Meaning”,aswl1_e1
stock characters,"['device', 'common', 'concept']",n.,,"A stock character is a stereotypical person whom audiences readily recognize from frequent recurrences in a particular literary tradition. Stock characters are archetypal characters distinguished by their flatness. As a result, they tend to be easy targets for parody and to be criticized as clichés. The presence of a particular array of stock characters is a key component of many genres.",,['a stereotypical person whom audiences readily recognize from frequent recurrences in a particular literary tradition'],"['know a variety of stock characters.', 
'understand how well-developed characters are built from stock characters.', 
'consider the use of stock characters in comedy or tragedy.', 
'consider the relationship between stock characters and archetypes.', 
'identify stock characters in popular movies.'

]","['What are some common stock characters?',
'Can we see the qualities of a stock character in a more developed character?',
'Does the existence of stock characters suggest anything about our own identities?',
'What is a possible function of a stock character?']","When we speak of typical characters, we are not trying to reduce lifelike characters to stock types, though we certainly are suggesting that the sentimental notion of an antithesis between the lifelike character and the stock type is a vulgar error. All lifelike characters, whether in drama or fiction, owe their consistency to the appropriateness of the stock type which belongs to their dramatic function. That stock type is not the character but it is as necessary to the character as a skeleton is to the actor who plays it.

",Northrup Frye,Anatomy of Criticism,aswl1_e1
symbol,"['device', 'essential', 'common', 'concept']",n.,"['symbolic (adj.)', 'symbolize (v.)']","Early 1500s, “creed, summary, religious belief”, from Late Latin symbolum “creed, token, mark”, from Greek symbolon “token, watchword, sign by which one infers; ticket, a permit, license”, literally “that which is thrown or cast together,” from assimilated form of syn- “together” + bole “a throwing, a casting, the stroke of a missile, bolt, beam,” from bol-, nominative stem of ballein “to throw.”","['syn-', 'bol']",['sign by which one infers'],"['know that symbols help to create meaning in a text.', 
'know the relationship between symbols and the abstract.', 
'understand how symbols function to transform the concrete into the abstract.', 
'understand the relationship between symbols and archetypes.', 
'understand the relationship between symbols and metaphor.', 
'be aware of commonly known symbols.', 
'consider the idea that all language is symbolic.', 
'consider the relationship between symbols in mathematics and those in literature.', 
'provide evidence for the potential meaning of a symbol.', 
'contrast symbol with index and icon.'
]","['Can one symbol have more than one meaning?',
'Are all words symbols?',
'What are some common symbols in Western literature?']","[H]ow can a part be played in the same way by two different actors when, even with the clearest, the most precise, the most forceful of writers, words are no more, and never can be more, than symbols, indicating a thought, a feeling, or an idea; symbols which need action, gesture, intonation, expression, and a whole context of circumstance, to give them their full significance?

",Denis Diderot,The Paradox of Acting,aswl1_e1
theme,"['device', 'essential', 'common', 'concept']",n.,['thematic (adj.)'],"Early 1400s, “subject or topic on which a person writes or speaks”, from Old French tesme, Modern French thème and directly from Latin thema “a subject, thesis,” from Greek thema “a proposition, subject, deposit,” literally “something set down,” from root of tithenai “put down, place,” from  dhe-mn, from root dhe- “to put, to do.”', '1450s, “school essay”', '1670s, extended to music first recorded', '1929, ""theme song"".', '1960, theme park.",['thema'],['subject or topic on which a person writes or speaks'],"['know common themes in literature: man’s relationship with nature, society, and self.', 
'identify the central theme of a text.', 
'consider the relationship between theme, motif, and leitmotif.'

]","['What are some common themes in literature?', 
'Does it suggest anything about the human experience that different times and cultures share thematic concerns?',
'How are thematic concerns declared or implied in the prologue?']","This word Culture, or what it has come to represent, involves, by contrast, our whole theme, and has been, indeed, the spur, urging us to engagement. Certain questions arise.  As now taught, accepted and carried out, are not the processes of culture rapidly creating a class of supercilious
infidels, who believe in nothing? 

",Walt Whitman,Democratic Vistas,aswl1_e1
tone,"['device', 'essential', 'common', 'concept']",n.,"['tonal (adj.)', 'tonality (n.)', 'atonal (adj.)', 'intone (v.)', 'toneless (adj.)', 'tonelessly (adv.)']","Mid 1300s, “musical sound or note”, from Old French ton “musical sound, speech, words” (1200s) and directly from Latin tonus “a sound, tone, accent,” literally “stretching” (in Medieval Latin, a term peculiar to music), from Greek tonos “vocal pitch, raising of voice, accent, key in music,” originally “a stretching, tightening, taut string,” related to teinein “to stretch.” Sense of “manner of speaking” is from c. 1600. First reference to firmness of body is from 1660s. As “prevailing state of manners” from 1735; as “style in speaking or writing which reveals attitude” from 1765. Tone-deaf is from 1880; tone-poem from 1845.",['tonos'],"['manner of speaking', 'style in speaking or writing which reveals attitude']","['consider the relationship between tone and mood.', 
'identify the tone of a text and provide evidence to support the identification.', 'consider tone in relation to overtones and undertones.']","['How can a writer create tone?',
'What is the relationship between tone and mood?',
'Is there a place for a comedic or light-hearted tone in serious writing?',
'How might sentence length, adjectives, adverbs, and punctuation marks contribute to tone?']","Now what is the difference between the report or statement Five slabs and the order ‘’Five slabs!?—Well, it is the part which uttering these words plays in the language-game. No doubt the tone of voice and the look with which they are uttered, and much else besides, will also be different. 

",Ludwig Wittgenstein,Philosophical Investigations,aswl1_e1
